,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
2368,"
5 bedroom house for sale in Karen
","

Karen, Langata

","
2023 m²
","
5
","








2

","
5 bedroom house for sale in Karen (Kenya) 3KE14...
",Pam Golding Properties,"
KSh 130,000,000
"
2369,"
4 bedroom townhouse for sale in Brookside
","

Brookside, Westlands

",-,"
4
",-,"
4 BEDROOM TOWN HOUSE FOR SALE IN WESTLANDS
",Halifax Estate Agency,"
KSh 65,000,000
"
2370,"
4 bedroom house for sale in Karen
","

Masai Lane, Karen, Langata

",-,"
4
","








4

","
A 4 bedroom house for sale
",Knight Frank Kenya,"
KSh 78,000,000
"
2371,"
5 bedroom house for sale in Karen
","

Karen, Langata

","
7900 ft²
","
5
","








5

","
5 bedroom house for sale in Karen
",Newpoint Properties,"
KSh 115,000,000
"
2372,"
5 bedroom townhouse for sale in Lavington
","

LAVINGTON GREEN, LAVINGTON GREEN, Lavington, Dagoretti North

",-,"
5
","








6

","
NEW 5 BEDROOMS TOWNHOUSES IN LAVINGTON GREEN FO...
",Comfort Valuers Limited,"
KSh 115,000,000
"
2373,"
Office for sale in Kilimani
","

Kilimani, Dagoretti North

",-,-,-,"
Rent to own Office space for sale
",-,"
KSh 8,500
"
2374,"
5 bedroom townhouse for sale in Spring Valley
","

Peponi Road, Spring Valley, Westlands

",-,"
5
","








5

","
5 Bedroom Townhouse for Sale in Spring Valley
",Dayfield Agencies,"
KSh 69,000,000
"
2375,"
3 bedroom townhouse for sale in Runda
","

Runda, Westlands

",-,"
3
","








3

","
3 Bedroom villa
",Azizi Realtors,"
KSh 29,000,000
"
2376,"
 5 bedroom townhouse for sale in Lavington
","

Amboseli Road, Lavington, Dagoretti North

",-,"
5
","








5

","
5 BEDROOM TOWNHOUSE FOR SALE IN AMBOSELI ROAD,...
",Knight Frank Kenya,"
KSh 60,000,000
"
2377,"
2 bedroom apartment for sale in Dennis Pritt
","

Dennis Pritt, Dagoretti North

",-,"
2
","








2

","
Kilimani 2bedroom plus Dsq on sale off Dennis...
",Canaan Properties,"
KSh 10,000,000
"
2378,"
7 bedroom house for sale in Runda
","

Runda Evergreen, Runda Evergreen, Runda, Westlands

",-,"
7
","








8

","
RUNDA Evergreen 7 bedroomed house for sale
",Havilaplus Estates Ltd,"
KSh 130,000,000
"
2379,"
Office for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Commercial office for sale in Westlands (Kenya)...
",Pam Golding Properties,"
KSh 8,500,000
"
2380,"
4 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
","








5

","
FOUR-BEDROOM VILLA FOR SALE WITHIN MUSHROOM GAR...
",Mahalo Properties Limited,"
KSh 59,000,000
"
2381,"
3 bedroom apartment for sale in Lavington
","

Othaya Road, Lavington, Dagoretti North

","
1700 ft²
","
3
","








2

","
3 Bedroom Exclusive Apartment For Sale in Lavin...
",Royalgen Estates,"
KSh 23,000,000
"
2382,"
4 bedroom house for sale in Langata Area
","

Langata Area, Langata

","
1288 ft²
","
4
","








2

","
House for Sale in Langata- Dam Estate
",Tysons Limited,"
KSh 18,500,000
"
2383,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
",-,"
4 Bedroom Townhouse for Sale in Kiambu
",HassConsult,"
KSh 29,500,000
"
2384,"
3 bedroom house for sale in Langata Area
","

Onyonka Estate, Langata Area, Langata

",-,"
3
",-,"
Beautiful House In Onyonka Estate For Sale - La...
",Pinnacle Valuers,"
KSh 16,000,000
"
2385,"
5 bedroom house for sale in Runda
","

Havana Road, Runda, Westlands

","
2023 m²
","
5
","








8

","
5 Bedrooms + 2 SQs 525Sqm in Runda, Havana Road...
",Sir Francis Marketing & Consultants Ltd,"
KSh 80,000,000
"
2386,"
2 bedroom apartment for sale in Westlands Area
","

1019w, Kabarserian Avenue, Near Kianda School, Westlands Area, Westlands

","
1800 ft²
","
2
","








3

","
Elegant two bedroom apartment well situated nea...
",Ace Realtors Limited,"
KSh 10,000,000
"
2387,"
4 bedroom house for sale in New Kitusuru
","

Eel Close, New Kitusuru, Westlands

","
2023 m²
","
4
","








4

","
4 Bedroom All En-Suite House For Sale in New Ki...
",Simkar Group Limited,"
KSh 65,000,000
"
2388,"
1 ac residential land for sale in Karen
","

Ngong' road, Karen, Karen, Langata

","
1 ac
",-,-,"
An acre for sale in Karen.
",Mencia Management Ltd.,"
KSh 60,000,000
"
2389,"
Land for sale in Muthaiga Area
","

Muthaiga Area, Muthaiga

",-,-,-,"
Muthaiga - Just over 1 acre
",HassConsult,"
KSh 230,000,000
"
2390,"
6 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

",-,"
6
","








6
 
","
Kitisuru 6 Bedroom Triplex Stand Alone House fo...
",J.M McCarthy Properties Ltd,"
KSh 150,000,000
"
2391,"
4 bedroom house for sale in Karen
","

Bogani Road, Karen, Langata

","
543 m²
","
4
","








5

","
Bogani Park - House Type B
",Sakile Properties,"
KSh 88,000,000
"
2392,"
1505 ft² office for sale in Parklands
","

3Rd Parklands, Parklands, Westlands

","
1505 ft²
",-,-,"
1505 ft² office for sale in Parklands
",Dunhill Consulting Limited,"
KSh 17,307,500
"
2393,"
5 bedroom villa for sale in Karen
","

Karen, Karen, Langata

","
6488 ft²
","
5
","








6

","
🔥Exquisite New Luxury Homes FOR SALE in Karen.🔥...
",Sir Francis Marketing & Consultants Ltd,"
KSh 95,000,000
"
2394,"
4 bedroom townhouse for sale in Brookside
","

Brookside, Westlands

",-,"
4
","








4

","
Townhouse for sale in Brookside
",Cura International,"
KSh 57,000,000
"
2395,"
3 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
372 m²
","
3
","








2

","
AMAZING 3,4&5BEDROOM MODERN VILLAS IN GATED COM...
",Blessed Shelters Agency,"
KSh 20,295,000
"
2396,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
Karen 4 Bedroom Villas for Sale
",J.M McCarthy Properties Ltd,"
KSh 65,000,000
"
2397,"
4 bedroom townhouse for sale in Kitisuru
","

Kitisuru, Westlands

","
350 m²
","
4
",-,"
4 BEDROOM VILLA + STUDY + 2 DSQ + (0.25 ACRE Lu...
",Splendor Holdings,"
KSh 60,000,000
"
2398,"
5 bedroom house for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
500 m²
","
5
","








5

","
 5 bedroom house for sale in Kileleshwa (Kenya)...
",Pam Golding Properties,"
KSh 48,000,000
"
2399,"
4 bedroom house for sale in Kileleshwa
","

Makueni Road, Kileleshwa, Dagoretti North

",-,"
4
","








3

","
4 BEDROOM WITH DSQ HOUSE FOR SALE IN KILELESHWA
",Royani Properties Limited,"
KSh 38,000,000
"
2400,"
2631 m² land for sale in Loresho
","

Loresho, Westlands

","
2631 m²
",-,-,"
0.65 acres for sale in Loresho ,Kaumoni
",Royal Properties Market Limited,"
KSh 58,000,000
"
2401,"
3 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
3
","








2

","
A new 3 Bedroomed apartment
",Keensell Ventures LTD,"
KSh 12,500,000
"
2402,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
ASPIRE 43 CHALBI DRIVE - OLYMPIA GOLD REAL ESTA...
",Olympia Gold Real Estate,"
KSh 66,000,000
"
2403,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
",-,"
ONE OF A KIND LUXURY TOWNHOUSE - OLYMPIA GOLD R...
",Olympia Gold Real Estate,"
KSh 105,000,000
"
2404,"
4 bedroom townhouse for sale in Westlands Area
","

Grevillea Grove, Westlands Area, Westlands

",-,"
4
",-,"
4 BEDROOM TOWNHOUSE FOR SALE IN GREVILLEA GROVE...
",Knight Frank Kenya,"
KSh 55,000,000
"
2405,"
4 bedroom townhouse for sale in Kitisuru
","

kitisuru, Kitisuru, Kitisuru, Westlands

",-,"
4
","








4

","
A 4 Bedroomed well built Town house.
",Keensell Ventures LTD,"
KSh 85,000,000
"
2406,"
2 bedroom apartment for sale in Lavington
","

Hadheru Road, Lavington, Dagoretti North

","
140 m²
","
2
","








3

","
Luxury 2 Bedrooms + Dsq 1,400 Sqft Ksh. 12.5M F...
",Sir Francis Marketing & Consultants Ltd,"
KSh 12,500,000
"
2407,"
4 bedroom house for sale in Loresho
","

Shinyalu Road, Loresho, Westlands

",-,"
4
","








3

","
4 BEDROOM VILLA FOR SALE IN SHINYALU ROAD, LORE...
",Knight Frank Kenya,"
KSh 64,000,000
"
2408,"
3 bedroom townhouse for sale in Waiyaki Way
","

Waiyaki Way, Westlands

",-,"
3
","








2

","
Homely Maisonettes for Sale – Sigona
",Realty Plus,"
KSh 16,000,000
"
2409,"
4 bedroom townhouse for sale in Lower Kabete
","

Lower kabete, lower kabete, Lower Kabete, Westlands

",-,"
4
","








5

","
An impressive new 4 bed townhouse
",Keensell Ventures LTD,"
KSh 130,000,000
"
2410,"
Office for sale in Westlands Area
","

Westlands, Westlands Area, Westlands

",-,-,-,"
6,500 sq ft Prime Office Space For Sale in West...
",Simkar Group Limited,"
KSh 65,000,000
"
2411,"
5 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
5
","








5

","
5 Bedroom All Ensuite Mansion at Runda Estate -...
",Afrique Properties Limited,"
KSh 60,000,000
"
2412,"
4 bedroom house for sale in Karen
","

Nairobi, Mukoma Road, Karen, Langata

",-,"
4
","








5

","
Superb 4 Bedroom Standalone Bungalow In Karen
",Coral Property International Ltd,"
KSh 100,000,000
"
2413,"
4 bedroom house for sale in Westlands Area
","

Grevillea, Nairobi, Westlands Area, Westlands

","
4000 ft²
","
4
","








5

","
4 Bedroom Townhouse For Sale In Grevillea
",Coral Property International Ltd,"
KSh 59,500,000
"
2414,"
Furnished 4 bedroom house for sale in Lavington
","

CPI/HS/051, Crystal Villas, Gitanga , Lavington, Dagoretti North

",-,"
4
","








5

","
4 Bedroom House For Sale In Lavington
",Coral Property International Ltd,"
KSh 55,000,000
"
2415,"
3 bedroom apartment for sale in Lavington
","

Othaya Road, Lavington, Dagoretti North

","
179 m²
","
3
","








3

","
Elegant 3 Bedrooms Apartment All Ensuite+DSQ
",Peech Limited,"
KSh 17,500,000
"
2416,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
5
","








6

","
Brand new 5 bedroom townhouse all ensuite with...
",Citywing Consult,"
KSh 70,000,000
"
2417,"
2 bedroom apartment for sale in Waiyaki Way
","

muhuri road, Waiyaki Way, Westlands

","
82 m²
","
2
","








2

","
1 & 2 BEDROOM APARTMENT FOR SALE
",Jabali Concepts Ltd,"
KSh 3,250,000
"
2418,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Apartment for sale in Kilimani
",Cura International,"
KSh 13,000,000
"
2419,"
5 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
5
","








5

","
5 bedroom house for sale in Runda
",Royal Properties Market Limited,"
KSh 90,000,000
"
2420,"
3 bedroom apartment for sale in Kilimani
","

Kindaruma Road,, Kilimani, Dagoretti North

",-,"
3
","








3

","
3 BEDROOM APARTMENT FOR SALE IN KINDARUMA ROAD,...
",Knight Frank Kenya,"
KSh 23,000,000
"
2421,"
10 bedroom house for sale in Ngara
","

Desai Road, Ngara, Starehe

",-,"
10
","








4

","
PRIME REDEVELOPMENT PLOT IN NGARA DESAI RD KSH...
",HOME CARE ESTATES LTD.,"
KSh 55,000,000
"
2422,"
5 bedroom house for sale in Ngong Road
","

Ngong Road, Ngong Road

","
2114 ac
","
5
","








5

","
House for Sale in Jamhuri Estate- Ngong Road
",Tysons Limited,"
KSh 30,000,000
"
2423,"
4 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
265 m²
","
4
","








5

","
4 All ensuite with SQ Mansion for sale in off k...
",Nairobi Property,"
KSh 45,000,000
"
2424,"
0.35 ac land for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Muthangari Plot
",Dunhill Consulting Limited,"
P.O.A
"
2425,"
Land for sale in Parklands
","

Parklands, Westlands

",-,-,-,"
0.25 acres for sale in Parklands
",Dayfield Agencies,"
KSh 100,000,000
"
2426,"
5 bedroom townhouse for sale in Rhapta Road
","

Rhapta Road, Westlands

","
350 m²
","
5
","








4

","
Spacious 5 bedrooms townhouse for sale in Westl...
",Kenya Classic Homes,"
KSh 58,000,000
"
2427,"
Office for sale in Upper Hill
","

Upper Hill, Langata

",-,-,-,"
FLAMINGO TOWERS A-class offices, UPPERHILL
",Citiscape Valuers & Estate Agents Ltd,"
KSh 10,000
"
2428,"
5 bedroom villa for sale in Karen
","

Karen, Langata

","
560 m²
","
5
","








5

","
KAREN NEW 4 & 5 BEDROOM ALL ENSUITE VILLA + 2 D...
 ",Splendor Holdings,"
KSh 90,000,000
"
2429,"
Land for sale in Karen
","

Karen, Langata

",-,-,-,"
3 Acres Karen
",Henley Green Realty,"
KSh 210,000,000
"
2430,"
Studio apartment for sale in Roysambu Area
","

Roysambu Area, Roysambu

",-,"
0
",-,"
Studio apartment for sale in Roysambu Area
",Citiscape Valuers & Estate Agents Ltd,"
KSh 1,700,000
"
2431,"
2 bedroom apartment for sale in Riverside
","

Riverside Drive, Riverside, Westlands

","
106 m²
","
2
","








2

","
2 Bedrooms Apartments for Sale in Riverside
",Sky Limits Ventures,"
KSh 12,500,000
"
2432,"
6 bedroom house for sale in Lavington
 ","

Lavington, Dagoretti North

",-,"
6
","








5

","
6 Bedroom Townhouse For Sale & Rent In Lavingto...
",Coral Property International Ltd,"
KSh 82,000,000
"
2433,"
Furnished 2 bedroom apartment for sale in Nairobi Central
","

Nairobi kilimani, Argwins kodgwek, Nairobi Central, Starehe

",-,"
2
","








2

","
2 bedroom to let in kilimani
",Best of Homes,"
KSh 160,000
"
2434,"
5 bedroom townhouse for sale in Spring Valley
","

Spring Valley, Westlands

",-,"
5
","








6

","
4/5 Bedroom Modern Town House
",Origin Homes,"
KSh 85,000,000
"
2435,"
2023 m² land for sale in Kitisuru
","

Kitisuru, Westlands

","
2023 m²
",-,-,"
New Kitusuru 0.5 Acres
",HassConsult,"
KSh 45,000,000
"
2436,"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
300 m²
","
3
","








4

","
HIGH END 3 BEDROOM APARTMENT IN RIVERSIDE
",A1 Properties Ltd,"
KSh 40,000,000
"
2437,"
5 bedroom villa for sale in Karen
","

Karen, Langata

",-,"
5
","








7

","
New spacious 5 bedrooms villa for sale in Karen
",Kenya Classic Homes,"
KSh 85,000,000
"
2438,"
4 bedroom house for sale in Loresho
","

Westlands, Loresho, Westlands

",-,"
4
","








4

","
4 BEDROOMS MASSIONATES AT LORESHO
",Vuli Homes Ltd,"
KSh 105,000,000
"
2439,"
Commercial land for sale in Industrial Area
","

ICD, Industrial Area, Embakasi

",-,-,-,"
7.5-Acres of Land For Sale in Embakasi - off Mo...
",Simkar Group Limited,"
P.O.A
"
2440,"
Office for sale in Parklands
","

Parklands, Westlands

",-,-,-,"
TRV Towers- Museum Hill
",Tysons Limited,"
KSh 10,000
"
2441,"
0.5 ac residential land for sale in North Muthaiga
","

North Muthaiga, Muthaiga
 
",-,-,-,"
Prime residential land for sale
",Taji Suburbs Ltd,"
KSh 55,000,000
"
2442,"
2023 m² residential land for sale in Karen
","

Karen, Langata

","
2023 m²
",-,-,"
½ Acre Land for Sale in Karen.
",Ring Kenya Ltd,"
KSh 35,000,000
"
2443,"
3 bedroom townhouse for sale in Donholm
","

Donholm, Embakasi

",-,"
3
",-,"
Three Bedroom TownHouse in Donholm
",PMC Estates Limited,"
KSh 11,500,000
"
2444,"
Residential land for sale in Karen
","

Karen, Langata

",-,-,-,"
ONE ACRE KCB KAREN AREA
",Karengata Property Managers,"
KSh 65,000,000
"
2445,"
3 bedroom house for sale in Ngumo Estate
","

Ngumo Estate, Langata

",-,"
3
","








2

","
Homely 3 bedroom House for Sale - Ngumo
",Realty Plus,"
KSh 12,000,000
"
2446,"
4 bedroom villa for sale in Spring Valley
","

Shanzu Rd, Spring Valley, Westlands

",-,"
4
","








5

","
An Elegant 4 bedroom Townhouse For Sale in Spri...
",Sky Limits Ventures,"
KSh 90,000,000
"
2447,"
3 bedroom townhouse for sale in Buruburu
","

Buruburu, Buruburu, Embakasi

",-,"
3
","








3

","
Buru Buru 3 bedroom
",Jusa Homes Limited,"
KSh 12,000,000
"
2448,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
130 m²
","
3
","








2

","
3 BEDROOM APARTMENT FOR SALE IN KILELESHWA AN...
",Splendor Holdings,"
KSh 10,000,000
"
2449,"
5 bedroom townhouse for sale in Loresho
","

Loresho, Westlands

",-,"
5
","








7

","
Modern 5 Bedroom Town House For Sale
",Origin Homes,"
KSh 100,000,000
"
2450,"
5 bedroom villa for sale in Karen
","

Oloolua Karen, Karen, Karen, Langata

",-,"
5
","








6

","
5 Bedroom Villas for sale
",Regent Management Ltd,"
KSh 95,000,000
"
2451,"
5 bedroom house for sale in Old Muthaiga
","

Old Muthaiga, Muthaiga

","
10000 ft²
","
5
","








5

","
Town house for sale in old muthaiga
",Vuli Homes Ltd,"
KSh 280,000,000
"
2452,"
3 bedroom townhouse for sale in Kiambu Road
","

kiambu, Kiambu Road, Kiambu Road

",-,"
3
","








3

","
Houses for Sale
",Red Knot  Properties Limited,"
KSh 20,295,000
"
2453,"
12950 m² land for sale in Karen
","

The Hub Karen, Karen, Langata

","
12950 m²
",-,-,"
Prime Commercial Land for sale in Karen
",Crystal Valuers LTD,"
KSh 285,000,000
"
2454,"
Office for sale in Kilimani
","

Woodavenue, Kilimani, Dagoretti North

",-,-,-,"
A three apartment to let as office
",Calmillers Holding Ltd,"
KSh 100,000
"
2455,"
5 bedroom house for sale in Kyuna
","

Nairobi, Kyuna, Westlands

","
6000 ft²
","
5
","








5

","
5 Bedroom Villa For Sale In Kibagare Valley, Ky...
",Coral Property International Ltd,"
KSh 120,000,000
"
2456,"
3 bedroom townhouse for sale in South C
","

Near Bandari Villas, South C, Langata

",-,"
3
","








3

","
House for sale
",Red Knot  Properties Limited,"
KSh 27,000,000
"
2457,"
1372 ft² office for sale in Westlands Area
","

Nairobi, Parklands Road, Westlands Area, Westlands

","
1372 ft²
",-,-,"
Offices For Sale On Parklands Road, Westlands
",Coral Property International Ltd,"
KSh 17,150,000
"
2458,"
Warehouse for sale in South C
","

South C, Langata

",-,-,-,"
An Industrial Complex Of 7 Warehouses For Sale
",Halifax Estate Agency,"
KSh 160,000,000
"
2459,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
3 Bedroom Apartment with DSq for Sale in Kilele...
",Sky Limits Ventures,"
KSh 17,500,000
"
2460,"
214 m² office for sale in Kilimani
","

Near Yaya Centre, Kilimani, Dagoretti North

","
214 m²
",-,-,"
🔥New Commercial Office Space Apartment FOR SALE...
",Sir Francis Marketing & Consultants Ltd,"
KSh 19,500,000
"
2461,"
5 bedroom house for sale in Loresho
","

Loresho, Westlands

",-,"
5
",-,"
House for Sale
",Cura International,"
KSh 165,000,000
"
2462,"
2000 m² residential land for sale in Karen
","

Karen, Langata

","
2000 m²
",-,-,"
1/2 Acre Residential Plot at Karen
",Afrique Properties Limited,"
KSh 28,000,000
"
2463,"
Office for sale in Westlands Area
","

Westlands Area, Westlands

",-,-,-,"
Office Space For Sale In Westlands CBD
",Coral Property International Ltd,"
KSh 8,796,250
"
2464,"
4 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
","








5

","
4 BR - Luxury Apartments - located in Kilimani
",Upper Deck Homes,"
KSh 16,700,000
"
2465,"
Residential land for sale in Karen
","

Langata road, Karen, Langata

",-,-,-,"
HALF ACRE LAND FOR SALE KAREN
",Pemukika Agency,"
KSh 35,000,000
"
2466,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
3 Bedroom, Luxurious apartments , located in Ki...
",Upper Deck Homes,"
KSh 12,500,000
"
2467,"
2 bedroom villa for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
2
","








2

","
Santack Bungalow- Ngong Road
",Tysons Limited,"
KSh 10,800,000
"
2468,"
4 bedroom house for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
","








2

","
House for Sale in Kilimani- Galana Road
",Tysons Limited,"
KSh 36,000,000
"
2469,"
4 bedroom townhouse for sale in Lavington
","

kabasiran, Lavington, Dagoretti North

","
37 m²
","
4
","








5

","
4 Bedrooms Modern Town house with a gym and POO...
",Green Knight Properties,"
KSh 68,000,000
"
